Year	Month	Origin	Dest	Pax From Origin	Pax To Origin
2016	1	BENGALURU	DELHI	147684	141710
2016	2	BENGALURU	DELHI	150014	147722
2016	3	BENGALURU	DELHI	153796	145566
2016	4	BENGALURU	DELHI	170267	157947
2016	5	BENGALURU	DELHI	157554	179085
2016	6	BENGALURU	DELHI	161308	170270
2016	7	BENGALURU	DELHI	178709	182931
2016	8	BENGALURU	DELHI	171584	172947
2016	9	BENGALURU	DELHI	168280	158778
2016	10	BENGALURU	DELHI	185858	162145
2016	11	BENGALURU	DELHI	161657	176316
2016	12	BENGALURU	DELHI	172364	180619
2017	1	BENGALURU	DELHI	176753	170122
2017	2	BENGALURU	DELHI	158477	148867
2017	3	BENGALURU	DELHI	156713	152664
2017	4	BENGALURU	DELHI	167233	150920
2017	5	BENGALURU	DELHI	167769	190445
2017	6	BENGALURU	DELHI	171411	175722
2017	7	BENGALURU	DELHI	175434	180114
2017	8	BENGALURU	DELHI	175467	176752
2017	9	BENGALURU	DELHI	182580	169772
2017	10	BENGALURU	DELHI	186427	185120
2017	11	BENGALURU	DELHI	179656	178576
2017	12	BENGALURU	DELHI	182549	192829
2018	1	BENGALURU	DELHI	185692	181900
2018	2	BENGALURU	DELHI	184090	179121
2018	3	BENGALURU	DELHI	194029	194405
2018	4	BENGALURU	DELHI	197175	182790
2018	5	BENGALURU	DELHI	185889	204057
2018	6	BENGALURU	DELHI	190406	193060
2018	7	BENGALURU	DELHI	194582	193888
2018	8	BENGALURU	DELHI	204488	202528
2018	9	BENGALURU	DELHI	188373	182982
2018	10	BENGALURU	DELHI	197728	185409
2018	11	BENGALURU	DELHI	174273	178357
2018	12	BENGALURU	DELHI	185664	193558
2019	1	BENGALURU	DELHI	189592	186861
2019	2	BENGALURU	DELHI	170288	169468
2019	3	BENGALURU	DELHI	170478	171829
2019	4	BENGALURU	DELHI	171177	163569
2019	5	BENGALURU	DELHI	173617	191762
2019	6	BENGALURU	DELHI	180065	190097
2019	7	BENGALURU	DELHI	189227	192977
2019	8	BENGALURU	DELHI	192079	191083
2019	9	BENGALURU	DELHI	189939	180875
2019	10	BENGALURU	DELHI	197492	181125
2019	11	BENGALURU	DELHI	190375	198341
2019	12	BENGALURU	DELHI	190407	199335
